id,Clean ID ,Geographic Area Name,Total,Total MOE,TOTAL WHITE ALONE,TOTAL BLACK ,TOTAL NATIVE AMERICAN,TOTAL ASIAN ,NATIVE HAWAIIAN PACIFIC ISLANDER,OTHER RACE,TWO OR MORE ,LATINO,White Percentage,Black Percentage,Native American Percentage,Asian Pecentage,Native Hawaiian PI percentage,Latino Percentage 
1400000US06073008343,6073008343,"Census Tract 83.43, San Diego County, California",5067,354,2261,50,0,1583,0,0,224,949,44.62206434,0.986777186,0,31.2413657,0,18.72903098
1400000US06073008344,6073008344,"Census Tract 83.44, San Diego County, California",3764,271,2479,103,41,579,0,17,176,369,65.8607864,2.736450584,1.089266738,15.38257173,0,9.803400638
1400000US06073008345,6073008345,"Census Tract 83.45, San Diego County, California",4012,319,2788,94,0,546,0,0,93,491,69.49152542,2.342971087,0,13.60917248,0,12.23828514
1400000US06073008346,6073008346,"Census Tract 83.46, San Diego County, California",4910,270,2183,21,0,2186,13,0,170,337,44.46028513,0.427698574,0,44.52138493,0.264765784,6.863543788
1400000US06073008347,6073008347,"Census Tract 83.47, San Diego County, California",7480,415,1955,124,9,3522,0,15,698,1157,26.13636364,1.657754011,0.120320856,47.0855615,0,15.46791444
1400000US06073008348,6073008348,"Census Tract 83.48, San Diego County, California",5691,414,1234,149,0,3198,26,245,229,610,21.68335969,2.618169039,0,56.19399051,0.456861711,10.71867862
1400000US06073008349,6073008349,"Census Tract 83.49, San Diego County, California",3841,291,1144,109,0,1816,73,0,198,501,29.78391044,2.837802656,0,47.27935433,1.900546733,13.04347826
1400000US06073008350,6073008350,"Census Tract 83.50, San Diego County, California",6979,481,2363,155,20,3612,22,42,347,418,33.85871901,2.22094856,0.286574008,51.7552658,0.315231409,5.989396762
1400000US06073008351,6073008351,"Census Tract 83.51, San Diego County, California",4225,325,1155,209,36,2231,0,0,248,346,27.33727811,4.946745562,0.852071006,52.80473373,0,8.189349112
1400000US06073008352,6073008352,"Census Tract 83.52, San Diego County, California",3687,326,1100,28,0,1758,23,72,176,530,29.83455384,0.759425007,0,47.6810415,0.623813398,14.37483049
1400000US06073008353,6073008353,"Census Tract 83.53, San Diego County, California",5133,334,1503,287,24,2205,9,0,258,847,29.28112215,5.591272161,0.467562829,42.95733489,0.175336061,16.5010715
1400000US06073008354,6073008354,"Census Tract 83.54, San Diego County, California",10247,648,3163,503,0,4846,168,0,690,877,30.867571,4.908753782,0,47.29189031,1.639504245,8.558602518
1400000US06073008355,6073008355,"Census Tract 83.55, San Diego County, California",3461,210,822,240,0,1780,9,7,221,382,23.75036117,6.93441202,0,51.43022248,0.260040451,11.03727246
1400000US06073008356,6073008356,"Census Tract 83.56, San Diego County, California",4028,336,1444,311,0,1549,0,0,39,685,35.8490566,7.720953327,0,38.45580933,0,17.00595829
1400000US06073008357,6073008357,"Census Tract 83.57, San Diego County, California",4939,370,1111,169,13,2686,18,10,189,743,22.49443207,3.421745293,0.263211176,54.38347844,0.364446244,15.04353108
